,Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
0,CF,73.4,72701,1.0300096838588266,0.9801980198019803,0.4252940380240053,0.9801980198019803,0.4313458908375925,0.994059405940594,0.10560581560080513,0.9425742574257425,0.9742574257425742
1,PFE,61.6,86628,0.6902553752870937,0.9326732673267327,0.53265896434244,0.9861386138613861,0.3771556596458064,0.9821782178217822,0.16850908101906883,0.9900990099009901,0.9727722772277227
2,ANET,146.21,36497,0.9287291377772523,0.9742574257425742,0.535540253084101,0.9881188118811882,0.618618460185756,1.0,0.08932886437193673,0.9168316831683169,0.9698019801980198
3,LB,80.13,66595,2.3189047901918802,1.0,0.84445820158226,0.998019801980198,0.22513877445152514,0.9287128712871286,0.08095439819194379,0.9029702970297029,0.9574257425742574
4,EXR,229.0,23302,0.9577016477319176,0.9762376237623762,0.3769316841790834,0.9683168316831683,0.236038019238316,0.9386138613861387,0.1043687246679166,0.9366336633663366,0.9549504950495049
5,AVGO,692.7,7703,0.5697904812571715,0.8613861386138614,0.446864269724207,0.9821782178217822,0.3316883425690779,0.9702970297029703,0.2009875764949447,0.994059405940594,0.9519801980198019
6,HPQ,39.07,136583,0.581202097429709,0.8693069306930693,0.2969621732327291,0.9267326732673267,0.3780716437183617,0.9841584158415841,0.1784676512639129,0.9920792079207921,0.943069306930693
7,PLD,164.25,32488,0.716716539548583,0.9485148514851486,0.3574695270487902,0.9544554455445545,0.2590736740421614,0.9544554455445545,0.08344632892816567,0.906930693069307,0.9410891089108911
8,DVN,43.72,122056,2.072177169311162,0.998019801980198,0.5439926558890271,0.9900990099009901,0.4289051675471618,0.9920792079207921,0.04924969062278891,0.7762376237623763,0.939108910891089
9,ACN,417.1,12793,0.576107771996064,0.8673267326732673,0.4247375176349343,0.9782178217821782,0.2186085780474438,0.9227722772277228,0.11527947082147094,0.9584158415841584,0.9316831683168316
10,AZO,2066.2,2582,0.7095596339481489,0.9386138613861387,0.42308629240953266,0.9762376237623762,0.20222307842412468,0.8930693069306931,0.08908504494299684,0.9128712871287129,0.9301980198019802
11,MAA,224.7,23748,0.8289508349656795,0.9643564356435644,0.3292313423447608,0.9425742574257425,0.17943899696506402,0.8712871287128714,0.10264653171545142,0.9346534653465346,0.9282178217821783
12,DRE,64.03,83340,0.650611130297822,0.9148514851485149,0.3277825856619203,0.9405940594059407,0.28933103108633607,0.9643564356435644,0.07135390133898481,0.8792079207920793,0.9247524752475248
13,IRM,52.4,101837,0.8760903046731763,0.9683168316831683,0.21101812521515753,0.8277227722772277,0.17108184930528436,0.8574257425742574,0.1185409391088378,0.9683168316831683,0.9054455445544554
14,PSA,375.97,14193,0.6216258903834545,0.895049504950495,0.2321839715096696,0.8594059405940594,0.18950925172482103,0.8831683168316832,0.12010310155925348,0.9742574257425742,0.9029702970297029
15,FTNT,362.01,14740,1.3502624584680734,0.9881188118811882,0.4525886366395871,0.9841584158415841,0.1577766656442827,0.8257425742574257,0.05338504159207256,0.7960396039603961,0.8985148514851485
16,MOS,40.18,132810,0.8049818709309905,0.9603960396039604,0.2630104821604807,0.904950495049505,0.17699723374170898,0.8653465346534653,0.0660481269676273,0.8613861386138614,0.898019801980198
17,UNH,513.91,10383,0.5066214794175832,0.805940594059406,0.25142486617819293,0.8831683168316832,0.2155967287797241,0.9188118811881187,0.1331608169634966,0.9801980198019803,0.897029702970297
18,LYV,120.25,44376,0.6319705396959613,0.9089108910891089,0.2868962260747378,0.9227722772277228,0.324095764208117,0.9683168316831683,0.04432901675447646,0.7504950495049505,0.8876237623762376
19,ZTS,248.6,21465,0.5220773574287939,0.8237623762376238,0.30035993533256494,0.9287128712871286,0.20933944191569617,0.906930693069307,0.07840544393423977,0.8910891089108911,0.8876237623762376
20,CVS,103.57,51523,0.5438770849994985,0.8435643564356435,0.2240740602060105,0.8534653465346534,0.21795200667361003,0.9207920792079207,0.08918995886726823,0.9148514851485149,0.8831683168316832
21,MLM,438.16,12178,0.6168852879388439,0.8851485148514852,0.2716611713509451,0.9148514851485149,0.25687607672484675,0.9504950495049505,0.047212882661231,0.7722772277227723,0.8806930693069307
22,PAYX,139.25,38321,0.4359686283761227,0.7386138613861387,0.3149147672068041,0.9326732673267327,0.23294795404349608,0.9366336633663366,0.0758874830582667,0.8891089108910891,0.8742574257425743
23,ANTM,476.47,11199,0.5291243074785846,0.8297029702970298,0.2118522487077588,0.8316831683168318,0.2128429509385697,0.9148514851485149,0.08762605182121973,0.9089108910891089,0.8712871287128714
24,JNPR,34.38,155215,0.5612839697993545,0.8534653465346534,0.2557725179872228,0.8930693069306931,0.22693164152332646,0.9326732673267327,0.05238535496529464,0.7900990099009901,0.8673267326732673
25,CNC,87.61,60909,0.4532070732723,0.7584158415841584,0.1763616859136266,0.7465346534653466,0.3516835640030423,0.9742574257425742,0.14183655018968067,0.9821782178217822,0.8653465346534653
26,MRO,17.0,313900,1.6239200245787069,0.9960396039603961,0.2028891113463025,0.807920792079208,0.3500523796594505,0.9722772277227724,0.02458239015278297,0.6455445544554455,0.8554455445544555
27,AAPL,177.0,30148,0.351905666698851,0.6138613861386139,0.3272357531491026,0.9386138613861387,0.21542544972683625,0.9168316831683169,0.0923885670761781,0.9207920792079207,0.8475247524752475
28,HLT,159.05,33551,0.5014664165511898,0.794059405940594,0.2190376143303918,0.8455445544554455,0.18403955212298143,0.8772277227722772,0.06391149877445988,0.8495049504950495,0.8415841584158416
29,KEYS,209.29,25497,0.5688386686585868,0.8594059405940594,0.333739734119432,0.9465346534653466,0.139852707337061,0.7960396039603961,0.0452701104553048,0.7564356435643564,0.8396039603960397
30,FCX,41.52,128523,0.6767137486547737,0.9287128712871286,0.10867392188600826,0.6118811881188119,0.2878539206467793,0.9623762376237623,0.0643786535027213,0.8514851485148515,0.8386138613861386
31,COST,570.6,9352,0.5361827654135694,0.8316831683168318,0.4213298804766785,0.9742574257425742,0.2258350057627165,0.9306930693069307,0.01875914328724251,0.6039603960396039,0.8351485148514852
32,COG,22.69,235183,0.35534958656853066,0.6178217821782178,0.1854868117480586,0.7683168316831683,0.2566144834483034,0.9485148514851486,0.25795320926523446,1.0,0.8336633663366337
33,F,20.5,260307,1.35966774567086,0.9900990099009901,0.3681325365068664,0.9603960396039604,0.552113923469688,0.9960396039603961,-0.0170289437,0.3821782178217822,0.8321782178217823
34,MCHP,90.32,59082,1.60437421947125,0.994059405940594,1.406879712292429,1.0,0.07340060025528643,0.5702970297029704,0.04565688317032295,0.7584158415841584,0.8306930693069308
35,ABBV,139.6,38225,0.357470915169802,0.6217821782178218,0.1792555910766489,0.7584158415841584,0.2585952868647975,0.9524752475247524,0.14362842126285688,0.9841584158415841,0.8292079207920792
36,NVR,5945.56,897,0.3843829577936698,0.6554455445544555,0.21392193513184674,0.8356435643564356,0.16646908082687883,0.8475247524752476,0.11862473614269343,0.9702970297029703,0.8272277227722773
37,MCK,244.66,21811,0.4067977446203008,0.693069306930693,0.24961428567311,0.8792079207920793,0.1698808779274991,0.8514851485148515,0.07018130479819781,0.8772277227722772,0.8252475247524753
38,CBRE,109.27,48836,0.7107396238088932,0.9405940594059407,0.1987969109953444,0.7980198019801981,0.10300157997656112,0.6792079207920793,0.06839760129934858,0.8712871287128714,0.8222772277227723
39,DGX,173.7,30721,0.41451752074475645,0.7108910891089109,0.2948176508589492,0.9247524752475248,0.10419803800016877,0.6851485148514851,0.11825268483407188,0.9663366336633663,0.8217821782178217
40,SNPS,379.67,14055,0.4288406793574976,0.7306930693069308,0.364005185223202,0.9584158415841584,0.14366976161920678,0.8019801980198019,0.05012312923094547,0.7801980198019802,0.8178217821782179
41,UDR,59.44,89776,0.652543983207842,0.9168316831683169,0.2066693807860845,0.8118811881188118,0.106720983892372,0.695049504950495,0.05958212704152818,0.8316831683168318,0.8138613861386139
42,LLY,285.0,18723,0.6291976049534391,0.904950495049505,0.21599078645161532,0.8396039603960397,0.1789485404916043,0.8693069306930693,0.02344830196719034,0.6376237623762376,0.8128712871287129
43,SCHW,88.48,60310,0.6728266503720534,0.9267326732673267,0.1715698233405263,0.7326732673267327,0.2061631535939783,0.9029702970297029,0.03058371293,0.6752475247524753,0.8094059405940593
44,ORLY,680.7,7839,0.5257538125619252,0.8257425742574257,0.24386437233059943,0.8693069306930693,0.0988250373998832,0.6673267326732674,0.06670172850086432,0.8653465346534653,0.806930693069307
45,KLAC,440.06,12126,0.6409521908236296,0.9108910891089108,0.3523852293036931,0.9524752475247524,0.1383591343720745,0.7920792079207921,0.01323317392812326,0.5722772277227722,0.8069306930693069
46,DHI,106.71,50007,0.4813417056627834,0.7821782178217822,0.16762349037479654,0.7207920792079208,0.205540051907191,0.900990099009901,0.05638049644993058,0.8138613861386139,0.8044554455445545
47,VMC,213.95,24941,0.447992229132086,0.7524752475247525,0.223399587132346,0.8514851485148515,0.1860145442929718,0.8811881188118812,0.03929425922396529,0.7207920792079208,0.8014851485148515
48,PXD,188.84,28258,0.7534252002898971,0.9564356435643565,0.1600224786639295,0.6910891089108911,0.2409370951615473,0.9425742574257425,0.020068809837505943,0.6118811881188119,0.8004950495049505
49,CSCO,62.84,84919,0.4368762844733182,0.7405940594059406,0.1747778643476054,0.7405940594059406,0.11816586130459124,0.7425742574257426,0.13080497996510693,0.9782178217821782,0.8004950495049505
50,FANG,108.75,49069,1.451860353236877,0.9920792079207921,0.1766998213371033,0.7485148514851485,0.2604469308313381,0.9564356435643565,0.0021375357095582154,0.49504950495049505,0.7980198019801981
