,Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
27,XOM,68.75,82391,-50.39,0.017821782178217824,1.74,0.22574257425742572,1.16,0.14851485148514854,8.335235908683678,0.19801980198019803,1.4265893975693378,0.0594059405940594,0.1299009900990099
28,TRV,166.26,34069,11.7,0.19801980198019803,1.4,0.14653465346534655,1.14,0.1415841584158416,7.47589750925137,0.14851485148514854,1.1347538407765363,0.041584158415841586,0.13524752475247526
29,NRG,43.03,131638,4.22,0.07326732673267328,2.68,0.3782178217821782,0.476,0.041584158415841586,3.761024030861361,0.039603960396039604,3.031674687765156,0.15247524752475247,0.13702970297029704
30,RE,277.22,20432,11.07,0.18811881188118812,1.1,0.10495049504950496,0.9663,0.11287128712871286,9.361745523371022,0.25346534653465347,0.927055753153486,0.025742574257425745,0.13702970297029704
31,PRGO,41.31,137119,-21.79,0.033663366336633666,1.08,0.100990099009901,1.25,0.16633663366336635,7.300554288577862,0.13663366336633664,4.485817380239065,0.2712871287128713,0.1417821782178218
32,UHS,140.4,40344,10.87,0.18613861386138614,1.85,0.24356435643564356,0.9464,0.10891089108910892,7.547532463917427,0.15643564356435644,1.1958184164296046,0.04554455445544554,0.1481188118811881
33,HCA,270.26,20959,13.58,0.2376237623762376,-118.93,0.011881188118811881,1.4,0.18712871287128713,8.936416917185554,0.22970297029702968,1.8981333200789896,0.08910891089108912,0.15108910891089108
34,DISH,33.24,170409,8.3,0.12475247524752475,1.25,0.1198019801980198,0.998,0.11683168316831682,6.645334413167974,0.11485148514851484,4.7142623185172035,0.2851485148514852,0.15227722772277227
35,SYF,47.77,118576,6.91,0.100990099009901,2.0,0.28217821782178215,1.64,0.24257425742574257,4.593219496110086,0.05544554455445544,1.7254148643940395,0.08118811881188119,0.15247524752475247
36,GPS,18.7,302908,14.44,0.25742574257425743,2.6,0.3653465346534654,0.4238,0.03564356435643565,5.069532385600919,0.06930693069306931,1.0853633753153578,0.03564356435643565,0.1526732673267327
37,GS,401.77,14098,6.69,0.09702970297029703,1.45,0.15544554455445544,2.17,0.33960396039603963,4.700445092413935,0.061386138613861385,2.1693906967917855,0.11089108910891088,0.15287128712871287
38,HOLX,72.14,78519,4.99,0.07920792079207921,2.1,0.296039603960396,1.63,0.2396039603960396,3.9492072318112728,0.04554455445544554,2.720830625727522,0.13465346534653466,0.159009900990099
39,PFG,76.12,74414,12.13,0.21386138613861388,1.25,0.1198019801980198,1.45,0.20099009900990097,8.574137021935512,0.20990099009900992,1.409360674966558,0.05742574257425742,0.1603960396039604
40,CINF,115.74,48940,7.5,0.10891089108910892,1.59,0.18118811881188118,2.11,0.32574257425742575,5.726269132907415,0.09306930693069307,2.042121426985739,0.09702970297029703,0.1611881188118812
41,AFL,61.16,92616,9.94,0.1603960396039604,1.23,0.11683168316831682,1.79,0.2811881188118812,7.535919777781144,0.15247524752475247,2.11129371786249,0.10495049504950496,0.16316831683168317
42,APA,29.2,193986,18.35,0.3504950495049505,-9.82,0.041584158415841586,1.58,0.22970297029702968,5.1091107244354745,0.0712871287128713,2.548858380102345,0.12277227722772277,0.16316831683168317
43,FTI,6.52,868772,22.59,0.4415841584158416,0.8683,0.08316831683168317,0.3685,0.025742574257425745,4.2877667450587875,0.05346534653465347,4.033873644916262,0.2277227722772277,0.16633663366336635
44,IVZ,24.74,228957,9.7,0.14851485148514854,0.7647,0.06930693069306931,1.74,0.2712871287128713,9.007603803641423,0.23564356435643563,2.3870576228189617,0.11485148514851484,0.16792079207920793
45,GL,98.6128,57440,13.78,0.24158415841584158,1.17,0.11287128712871286,2.01,0.31287128712871287,6.401075353736731,0.09900990099009901,1.9625517908664951,0.09504950495049505,0.17227722772277226
46,PVH,113.66,49836,16.0,0.2950495049504951,1.54,0.17524752475247524,0.8889,0.100990099009901,8.967956084412432,0.23366336633663365,1.7711326818769295,0.08514851485148515,0.178019801980198
47,MHK,188.93,29981,12.01,0.20990099009900992,1.52,0.1702970297029703,1.16,0.14851485148514854,6.995045079331818,0.12475247524752475,4.284840931175632,0.24752475247524752,0.18019801980198022
48,ZION,69.34,81690,6.45,0.09306930693069307,1.45,0.15544554455445544,3.1,0.4683168316831683,5.016170444270707,0.06732673267326733,2.678770626613297,0.13267326732673268,0.18336633663366336
49,WHR,236.32,N/A,7.62,0.11386138613861385,3.09,0.43663366336633663,0.6957,0.06336633663366337,6.5263517876928105,0.10495049504950496,3.7433869961587325,0.20990099009900992,0.18574257425742574
