,Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
0,UNM,26.53,213509,6.83,0.09900990099009901,0.4898,0.05742574257425742,0.413,0.033663366336633666,3.2117001914131973,0.033663366336633666,0.39764976565662313,0.007920792079207921,0.046336633663366336
1,AAL,19.42,291678,-3.87,0.05148514851485149,-1.74,0.05544554455445544,0.5136,0.05148514851485149,-7.2326663974073755,0.023762376237623763,1.455114350588175,0.061386138613861385,0.048712871287128715
2,HPQ,40.12,141186,3.66,0.0712871287128713,-13.32,0.03762376237623762,0.3447,0.015841584158415842,4.194295289006827,0.05148514851485149,1.770958479166937,0.08316831683168317,0.051881188118811886
3,PRU,113.9,49731,6.15,0.08910891089108912,0.7144,0.06534653465346535,0.6225,0.05544554455445544,4.64123136407355,0.0594059405940594,0.6124337144037089,0.011881188118811881,0.05623762376237624
4,BEN,34.11,166062,4.97,0.07722772277227723,0.7759,0.0712871287128713,1.03,0.1188118811881188,3.1397022563919075,0.031683168316831684,0.8492462122452563,0.019801980198019802,0.06376237623762376
5,KSS,49.52,114386,7.67,0.11683168316831682,1.4,0.14653465346534655,0.3775,0.02772277227722772,3.8527280545610587,0.041584158415841586,1.1715679077781993,0.04356435643564357,0.07524752475247524
6,BA,219.55,25800,-15.1,0.041584158415841586,-8.78,0.04554455445544554,2.0,0.3089108910891089,-34.36374271943005,0.005940594059405941,-1372.4294147499172,0.0019801980198019802,0.0807920792079208
7,HPE,16.97,333788,3.34,0.06534653465346535,0.568,0.061386138613861385,0.3923,0.031683168316831684,7.5260041323280955,0.1504950495049505,2.058710690721998,0.100990099009901,0.08198019801980198
8,DHI,103.77,54586,4.67,0.07524752475247524,1.26,0.12277227722772277,0.6829,0.061386138613861385,3.58897695893972,0.03564356435643565,2.505700227259316,0.1188118811881188,0.08277227722772278
9,AIG,59.38,95392,9.28,0.1425742574257426,0.7802,0.07326732673267328,1.07,0.12574257425742574,4.636254788109355,0.05742574257425742,1.0460318920804745,0.031683168316831684,0.08613861386138615
10,TSN,93.34,60685,5.44,0.08316831683168317,0.9636,0.09306930693069307,0.3598,0.021782178217821784,4.0234546279564345,0.04950495049504951,3.441972283759892,0.18613861386138614,0.08673267326732674
11,MET,65.77,86124,10.83,0.18415841584158416,0.8123,0.07722772277227723,0.789,0.08118811881188119,5.480183477669714,0.08712871287128714,0.7698858529799816,0.017821782178217824,0.0895049504950495
12,AIZ,157.23,36026,7.09,0.10495049504950496,1.6,0.18613861386138614,0.8965,0.10495049504950496,1.9416016069902973,0.02772277227722772,0.8712691125108659,0.023762376237623763,0.0895049504950495
13,VIAC,33.95,166845,6.49,0.09504950495049505,1.09,0.10297029702970298,0.8098,0.08910891089108912,6.951841143256038,0.12277227722772277,1.2465631942345208,0.05148514851485149,0.09227722772277228
14,ALL,121.71,46540,11.37,0.19207920792079208,1.5,0.16336633663366334,0.7076,0.06534653465346535,2.4956723280878825,0.0297029702970297,0.7043734198915022,0.015841584158415842,0.09326732673267327
15,WRK,46.44,121972,7.53,0.11089108910891088,0.5394,0.0594059405940594,0.3341,0.011881188118811881,4.992613564420406,0.06534653465346535,3.955348451430017,0.21980198019801983,0.09346534653465347
16,L,61.52,92074,9.8,0.15247524752475247,0.8469,0.08118811881188119,1.06,0.12277227722772277,5.4694855796995245,0.08514851485148515,0.9950350382934916,0.0297029702970297,0.09425742574257426
17,LNC,73.94,76608,10.62,0.17821782178217824,0.6213,0.06336633663366337,0.6758,0.0594059405940594,7.923344357630613,0.1702970297029703,0.6527447585744727,0.01386138613861386,0.09702970297029703
18,MCK,257.64,21985,-8.36,0.047524752475247525,-68.88,0.017821782178217824,0.1562,0.007920792079207921,9.342804544944837,0.2514851485148515,3.2494332344192833,0.17425742574257427,0.09980198019801981
19,HFC,33.51,169036,11.99,0.20495049504950494,0.9484,0.09108910891089109,0.3529,0.017821782178217824,5.42066070526363,0.08316831683168317,2.3036657343096287,0.11287128712871286,0.10198019801980197
20,RJF,105.72,53579,8.07,0.12277227722772277,1.37,0.13762376237623763,1.14,0.1415841584158416,5.3089782396117355,0.07722772277227723,1.1284320030640191,0.039603960396039604,0.10376237623762377
21,C,65.7,86216,6.33,0.09108910891089109,0.7303,0.06732673267326733,1.68,0.25445544554455446,3.945481716692485,0.04356435643564357,1.4942166665438692,0.06732673267326733,0.10475247524752476
22,HIG,71.25,79500,12.2,0.21782178217821785,1.39,0.1405940594059406,1.1,0.13267326732673268,5.3961488198136545,0.08118811881188119,1.0738593315317677,0.033663366336633666,0.1211881188118812
23,UAL,46.42,122024,-4.68,0.04950495049504951,2.82,0.39603960396039606,0.7833,0.07920792079207921,-7.719258833882924,0.021782178217821784,1.4741268739922857,0.06336633663366337,0.12198019801980199
24,TAP,49.96,113378,-24.65,0.031683168316831684,0.8349,0.07920792079207921,1.08,0.12871287128712872,7.350295195982632,0.1405940594059406,4.274099146729025,0.24554455445544554,0.12514851485148515
25,GM,64.23,88189,8.45,0.12673267326732673,1.8,0.23465346534653467,0.7498,0.07524752475247524,3.7235247618618623,0.03762376237623762,3.1641281388899896,0.16831683168316833,0.12851485148514852
26,COF,149.25,37952,5.65,0.08514851485148515,1.05,0.09900990099009901,2.12,0.3287128712871287,4.016931999748899,0.047524752475247525,1.8741222579754884,0.08712871287128714,0.1295049504950495
